ENT,acceso,uso,aptitudes,IDTMex,Codigo,NOMBRE
1,0.6344191655361329,0.4815917425251513,0.5532418507369729,5.570527333719083,1,Aguascalientes
2,0.6967833331383593,0.6498703918222345,0.5601698893150603,6.506954678472495,2,Baja California
3,0.6211525867714474,0.5649952245061148,0.571461323522656,5.887513892155561,3,Baja California Sur
4,0.5365420150959942,0.40248479399348214,0.5323608043893583,4.820828845136623,4,Campeche
5,0.621202692061753,0.5027217923849416,0.549552882524297,5.594803702835374,5,Coahuila de Zaragoza
6,0.6272501626360576,0.542409981385518,0.5772594256295197,5.833159427345342,6,Colima
7,0.3622329805013122,0.22075081332566124,0.43690547672643243,3.2057461287607585,7,Chiapas
8,0.6283957124197803,0.5371854589187639,0.5456968739231604,5.753718433200498,8,Chihuahua
9,0.7768333850170419,0.7337779709268427,0.66156448632801,7.365574396431559,9,Ciudad de México
10,0.5484050580833005,0.42008273314033734,0.5313433888075657,4.936637942509683,10,Durango
11,0.5396981706880928,0.4466662855168866,0.4800129228126418,4.905483670445202,11,Guanajuato
12,0.4692511287966954,0.3767147830268111,0.4681780820981018,4.32021981149023,12,Guerrero
13,0.49014858814716067,0.3728547504124478,0.48747286010370033,4.4269590744458345,13,Hidalgo
14,0.6242586833252096,0.5327172922016904,0.5418652052428609,5.711634312593322,14,Jalisco
15,0.6450766148802511,0.5373739629720466,0.5510397309195987,5.831881773248389,15,México
16,0.4891637939359532,0.3578491976676339,0.4739388991860869,4.335929764786522,16,Michoacán de Ocampo
17,0.6166363433499257,0.46939358882672794,0.5379281764232523,5.41997608155312,17,Morelos
18,0.5374268709433881,0.4728082227539798,0.5258713355019137,5.092683045793301,18,Nayarit
19,0.720623239035688,0.6457450880772756,0.5646620105311698,6.594797329514195,19,Nuevo León
20,0.44097138499812416,0.3092105856393825,0.4402511519291881,3.881230186408403,20,Oaxaca
21,0.5055309709087107,0.38580137921748686,0.5014054350807694,4.56814027066633,21,Puebla
22,0.5717498875393612,0.4657697000545899,0.5051953566998606,5.160469063775526,22,Querétaro
23,0.6029650725903609,0.49335074018673053,0.5663906608795283,5.518044572867423,23,Quintana Roo
24,0.5441472340795696,0.4266772480885314,0.522228118478931,4.927754165630266,24,San Luis Potosí
25,0.5608144946386101,0.4483303413982102,0.5716183938130794,5.179816131773441,25,Sinaloa
26,0.6346215288259706,0.7272434679777616,0.5610563268654435,6.5695726409458155,26,Sonora
27,0.48483353640609483,0.35588766692410073,0.5333044693012375,4.429493751923258,27,Tabasco
28,0.630291146788782,0.49946201430749976,0.5696310958843215,5.658274836153771,28,Tamaulipas
29,0.512385376499918,0.37667481141109754,0.5255952264703826,4.607431204584827,29,Tlaxcala
30,0.481766733026761,0.345288172894387,0.4822263065781673,4.272672236840927,30,Veracruz de Ignacio de la Llave
31,0.5469569700094005,0.4182470236771812,0.512114557747165,4.885045090240657,31,Yucatán
32,0.5447496057962915,0.4351369430530285,0.49709290874564155,4.9137320128885635,32,Zacatecas
